city,status,numberRooms,numberBathrooms,numberBalconies,houseSpace,elevator,carParking,heating,featurePlus,featurePlus2,Bldg_A,Bldg_B,MedstatusHouseSpace,city_encoded,priceUS
1,2,3,3,1,150.0,1,1,0,1.0,1.3333333333333333,0,1,130.0,1508.2965041390216,500.0
1,2,3,2,1,140.0,1,1,0,0.6666666666666666,1.0,0,1,130.0,1508.2965041390216,500.0
1,1,2,2,1,120.0,1,1,0,1.0,1.5,1,0,100.0,1508.2965041390216,600.0
4,1,1,1,0,120.0,0,1,0,1.0,1.0,0,0,100.0,3749.991715220519,330.0
1,1,3,2,2,0.0,0,0,0,0.6666666666666666,1.3333333333333333,2,0,100.0,1508.2965041390216,450.0
4,1,2,1,2,0.0,0,1,0,0.5,1.5,2,0,100.0,3749.991715220519,180.0
1,2,3,2,1,140.0,1,1,0,0.6666666666666666,1.0,0,1,130.0,1508.2965041390216,500.0
1,1,1,1,1,70.0,1,1,1,1.0,2.0,1,0,100.0,1508.2965041390216,550.0
1,2,2,2,1,0.0,1,1,0,1.0,1.5,0,1,130.0,1508.2965041390216,450.0
1,2,2,2,1,0.0,1,1,0,1.0,1.5,0,1,130.0,1508.2965041390216,450.0
1,1,2,1,1,0.0,1,1,0,0.5,1.0,1,0,100.0,1508.2965041390216,600.0
1,1,1,1,1,16.0,1,1,0,1.0,2.0,1,0,100.0,1508.2965041390216,360.0
8,2,3,1,2,140.0,0,0,0,0.3333333333333333,1.0,0,2,130.0,5872.647227876687,360.0
1,1,3,2,1,140.0,1,1,0,0.6666666666666666,1.0,1,0,100.0,1508.2965041390216,700.0
1,2,3,2,1,160.0,1,1,0,0.6666666666666666,1.0,0,1,130.0,1508.2965041390216,600.0
1,1,1,2,1,16.0,0,1,0,2.0,3.0,1,0,100.0,1508.2965041390216,165.0
1,1,3,3,1,150.0,1,1,0,1.0,1.3333333333333333,1,0,100.0,1508.2965041390216,550.0
1,1,2,2,1,140.0,0,1,1,1.0,1.5,1,0,100.0,1508.2965041390216,500.0
1,1,3,2,1,165.0,1,1,1,0.6666666666666666,1.0,1,0,100.0,1508.2965041390216,700.0
1,1,2,2,1,145.0,1,1,1,1.0,1.5,1,0,100.0,1508.2965041390216,650.0
1,1,3,2,1,155.0,0,0,0,0.6666666666666666,1.0,1,0,100.0,1508.2965041390216,180.0
1,1,1,2,0,100.0,0,0,0,2.0,2.0,0,0,100.0,1508.2965041390216,500.0
1,2,3,2,2,180.0,0,0,0,0.6666666666666666,1.3333333333333333,0,2,130.0,1508.2965041390216,495.0
1,2,2,2,2,140.0,1,1,0,1.0,2.0,0,2,130.0,1508.2965041390216,330.0
1,1,3,2,1,150.0,1,1,1,0.6666666666666666,1.0,1,0,100.0,1508.2965041390216,600.0
1,2,3,3,2,172.0,1,1,0,1.0,1.6666666666666667,0,2,130.0,1508.2965041390216,650.0
1,1,1,1,0,0.0,1,1,0,1.0,1.0,0,0,100.0,1508.2965041390216,400.0
1,1,1,1,0,0.0,1,1,0,1.0,1.0,0,0,100.0,1508.2965041390216,400.0
1,2,1,1,0,0.0,1,1,0,1.0,1.0,0,0,130.0,1508.2965041390216,270.0
1,2,1,1,1,100.0,0,1,0,1.0,2.0,0,1,130.0,1508.2965041390216,300.0
4,1,4,2,3,170.0,1,1,0,0.5,1.25,3,0,100.0,3749.991715220519,750.0
1,1,3,2,1,0.0,1,1,0,0.6666666666666666,1.0,1,0,100.0,1508.2965041390216,600.0
1,1,3,3,2,175.0,1,1,1,1.0,1.6666666666666667,2,0,100.0,1508.2965041390216,800.0
3,1,3,2,1,148.0,1,1,0,0.6666666666666666,1.0,1,0,100.0,3107.09112274828,750.0
1,2,2,2,1,122.0,1,1,0,1.0,1.5,0,1,130.0,1508.2965041390216,500.0
2,2,2,1,0,100.0,0,0,0,0.5,0.5,0,0,130.0,2809.5507241955816,300.0
1,2,2,2,1,140.0,1,1,0,1.0,1.5,0,1,130.0,1508.2965041390216,450.0
